,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
1921,1921,Sauvignon Blanc,Black Box,California,United States,3.5,21.98,
1922,1922,Chardonnay,Gravelly Ford,California,United States,3.4,7.13,
1923,1923,Mohua Marlborough Sauvignon Blanc 2014,Peregrine,Central Otago,New Zealand,4.0,12.98,2014.0
1924,1924,Chardonnay,Stella Bella,Margaret River,Australia,3.6,21.59,
1925,1925,S\xe9millon,"[u""L'Ecole No 41""]",Columbia Valley,United States,3.6,16.83,
1926,1926,Chablis Premier Cru Mont\xe9e de Tonnerre 2006,Raveneau,Chablis,France,4.5,189.93,2006.0
1927,1927,Sonoma County Complicated Chardonnay 2014,Taken,St. Helena,United States,3.6,17.97,2014.0
1928,1928,Blanc 2015,La Vieille Ferme,Vall\xe9e du Rh\xf4ne,France,3.4,7.99,2015.0
1929,1929,Private Reserve Chardonnay 2014,Beringer Vineyards,St. Helena,United States,4.1,34.97,2014.0
1930,1930,Riesling 2014,Plantagenet,Western Australia,Australia,3.4,21.99,2014.0
1931,1931,La Flor Sauvignon Blanc 2013,Pulenta Estate,Mendoza,Argentina,3.5,16.0,2013.0
1932,1932,Puligny-Montrachet 1er Cru Clos De La Mouchere 2013,Domaine Henri Boillot,Meursault,France,4.6,123.96,2013.0
1933,1933,"[u""Jed Steele's Aligote 2012""]",Shooting Star,Lake County,United States,3.5,12.61,2012.0
1934,1934,B\xe2tard-Montrachet Grand Cru 2007,Domaine Leflaive,Bourgogne,France,4.5,350.0,2007.0
1935,1935,American Chardonnay 2014,Virginia Dare,Russian River Valley,United States,4.2,25.13,2014.0
1936,1936,Pinot Grigio 2014,Anterra,Napa Valley,United States,3.8,8.98,2014.0
1937,1937,Sauvignon Blanc,CK Mondavi,California,United States,3.0,6.98,
1938,1938,Puligny-Montrachet 1er Cru Le Clavoillon 2010,Domaine Leflaive,Bourgogne,France,4.4,159.98,2010.0
1939,1939,Chardonnay,Banrock Station,South Eastern Australia,Australia,3.3,7.18,
1940,1940,Proprietary White 2011,Austerity,Arroyo Seco,United States,4.0,8.98,2011.0
1941,1941,Russian River Valley Chardonnay,Orogeny,Sonoma County,United States,4.1,19.76,
1942,1942,Silver Unoaked Chardonnay,Mer Soleil,Santa Lucia Highlands,United States,3.8,20.97,
1943,1943,The FMC Chenin Blanc 2009,Ken Forrester,Stellenbosch,South Africa,4.6,54.99,2009.0
1944,1944,Riesling Trocken 2013,Wagner-Stempel,Rheinhessen,Germany,3.8,16.98,2013.0
1945,1945,Sancerre Les Champs Clos Blanc 2014,Cave des Vins de Sancerre,Sancerre,France,4.0,18.4,2014.0
1946,1946,M\xe2con-Villages Vieilles Vignes Chardonnay 2014,Jean Touzot,M\xe2con,France,3.8,14.98,2014.0
1947,1947,Cotes De Provence 2014,Ch\xe2teau Pas du Cerf,Provence,France,3.5,11.43,2014.0
1948,1948,Chablis 2014,Domaine Long Depaquit,Chablis,France,3.8,19.98,2014.0
1949,1949,Menetou-Salon,Chavet,Loire,France,3.7,19.79,
1950,1950,House Wine Favorites Refreshing White,Franzia,California,United States,2.9,13.98,
