,wine_index,white_wine,white_wineries,white_regions,white_countries,white_avg_wine_ratings,white_avg_price,vintage_year
3781,3781,Pessac-L\xe9ognan Blanc,Ch\xe2teau Haut Bergey,Pessac-Leognan,France,3.9,41.99,
3782,3782,Flor de Crasto White,Quinta do Crasto,Douro,Portugal,3.5,14.98,
3783,3783,Bay Mist White Riesling,J. Lohr Vineyards & Wines,Central Coast,United States,3.6,9.98,
3784,3784,Apprentice Chardonnay 2011,Trinitas,Napa Valley,United States,2.9,19.18,2011.0
3785,3785,Chablis Premier Cru Mont\xe9e de Tonnerre 2008,Raveneau,Chablis,France,4.4,215.0,2008.0
3786,3786,Baron Herzog Chardonnay 2013,Herzog,Central Coast,United States,3.2,13.98,2013.0
3787,3787,White 2014,Big House,Monterey County,United States,2.9,8.98,2014.0
3788,3788,Puligny-Montrachet Champ Canet 2011,Etienne Sauzet,Puligny-Montrachet,France,4.0,107.98,2011.0
3789,3789,R\xe9serve Sp\xe9ciale Bordeaux Blanc 2014,Barons de Rothschild (Lafite),Bordeaux,France,3.3,14.98,2014.0
3790,3790,Chardonnay,Robertson Winery,Western Cape,South Africa,3.3,9.33,
3791,3791,Langhe Chardonnay Educato 2013,Elio Grasso,Piemonte,Italy,3.7,24.47,2013.0
3792,3792,Puligny-Montrachet Premier Cru Les Combettes,Vincent Girardin,Bourgogne,France,4.4,96.88,
3793,3793,Four Hearts Vineyards Chardonnay 2013,Hartford Court,Sonoma County,United States,4.1,35.98,2013.0
3794,3794,Cold Creek Riesling,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,3.8,15.98,
3795,3795,Puligny-Montrachet Premier Cru Folati\xe8res 2008,Joseph Drouhin,Bourgogne,France,4.4,90.0,2008.0
3796,3796,Friuli Colli Orientali San Pietro Friulano 2014,i Clivi,Friuli-Venezia Giulia,Italy,3.8,20.55,2014.0
3797,3797,Reserve Chardonnay,Glen Ellen,Sonoma County,United States,3.3,7.98,
3798,3798,Chardonnay 2011,Rombauer Vineyards,St. Helena,United States,4.4,36.98,2011.0
3799,3799,Chablis,Roux P\xe8re & Fils,Bourgogne,France,3.4,17.74,
3800,3800,Chenin Blanc 2013,Jean Qaneel,Western Cape,South Africa,4.4,29.69,2013.0
3801,3801,"[u""Aile d'Argent Blanc Bordeaux 1993""]",Ch\xe2teau Mouton Rothschild,Pauillac,France,4.5,398.17,1993.0
3802,3802,Goosefoot Road Riesling,Fetzer,Mendocino County,United States,3.6,8.98,
3803,3803,Chardonnay,Wente,Livermore Valley,United States,3.8,14.98,
3804,3804,Vermentino Montecucco Melacce 2014,ColleMassari,Toscana,Italy,3.6,19.98,2014.0
3805,3805,Les Carisannes Sauvignon Blanc,Hubert Brochard,Upper Loire,France,3.5,11.58,
3806,3806,Chardonnay Proprietor,Rombauer Vineyards,St. Helena,United States,4.5,65.0,
3807,3807,Adelaide Hills Chardonnay,Hill-Smith,Barossa,Australia,3.7,15.52,
3808,3808,Chardonnay 2011,Mulderbosch,Stellenbosch,South Africa,3.7,16.48,2011.0
3809,3809,Chardonnay 2013,Girard,Yountville,United States,3.8,21.98,2013.0
3810,3810,Gavi Del Comune Di Gavi Gran\xe9e 2014,Batasiolo,Piemonte,Italy,3.7,17.98,2014.0
3811,3811,Riesling Schlo\xdfb\xf6ckelheimer Felsenberg Sp\xe4tlese Trocken,D\xf6nnhoff,Nahe,Germany,4.3,51.95,
3812,3812,Condrieu Amour du Dieu 2012,Jean-Luc Colombo,Vall\xe9e du Rh\xf4ne,France,4.0,74.98,2012.0
3813,3813,Pinot Grigio,Livon,Friuli-Venezia Giulia,Italy,3.7,15.98,
3814,3814,The FMC Chenin Blanc 2012,Ken Forrester,Stellenbosch,South Africa,4.5,57.46,2012.0
3815,3815,Bacchus Okanagan Valley White Blanc Vin Blanc 2015,Arrowleaf,Okanagan Valley,Canada,4.4,11.07,2015.0
3816,3816,Eisrebe 2011,Joseph Phelps,St. Helena,United States,4.3,50.22,2011.0
3817,3817,"[u""Woodcutter's Semillon 2010""]",Torbreck,South Australia,Australia,3.7,16.99,2010.0
3818,3818,Colombard - Sauvignon Blanc 2015,Anciens Temps,Vin de Pays,France,3.9,6.79,2015.0
3819,3819,San Angelo Pinot Grigio 2013,Banfi,Toscana,Italy,3.7,21.68,2013.0
3820,3820,White,Sijnn,Stellenbosch,South Africa,4.1,29.0,
3821,3821,Riesling Kabinett 2007,Joh. Jos. Pr\xfcm,Mosel,Germany,4.1,24.93,2007.0
3822,3822,Moutonne Chablis Grand Cru,Domaine Long Depaquit,Chablis,France,4.2,125.99,
3823,3823,Gros Manseng Sauvignon Blanc 2015,Alain Brumont,Sud-Ouest,France,3.8,9.99,2015.0
3824,3824,Riesling Alsace Grand Cru Schlossberg Cuv\xe9e Sainte Catherine,Domaine Weinbach,Alsace,France,4.4,48.18,
3825,3825,Marsanne 2013,Tahbilk,Victoria,Australia,3.6,16.98,2013.0
3826,3826,Savenni\xe8res,Baumard,Loire,France,3.7,23.13,
3827,3827,Chardonnay Puglia 2015,Tormaresca,Puglia,Italy,3.5,12.56,2015.0
3828,3828,Touraine Sauvignon,Corbilli\xe8res,Touraine,France,3.7,15.97,
3829,3829,"[u""Tikka's Run Pinot Gris""]",Lemelson,Willamette Valley,United States,3.8,20.66,
3830,3830,Chardonnay Toscana,Caparzo,Toscana,Italy,3.2,10.98,
3831,3831,Chardonnay Bourgogne Vieilles Vignes 2013,Jean Bouchard,M\xe2connais,France,3.5,14.78,2013.0
3832,3832,Coastal Estates Moscato 2012,Beaulieu Vineyard (BV),Rutherford,United States,3.8,7.96,2012.0
3833,3833,Pinot Grigio Valdadige,Barone Fini,Trentino,Italy,3.6,10.98,
3834,3834,Clare Valley Bin 7 Riesling 2013,Leasingham,South Australia,Australia,3.3,12.81,2013.0
3835,3835,Sauternes Grand Cru Class\xe9 2011,Ch\xe2teau Doisy-Vedrines,Sauternes,France,4.1,45.98,2011.0
3836,3836,Ch\xe2teauneuf-du-Pape Vieilles Vigne Blanc 2000,Ch\xe2teau de Beaucastel,Ch\xe2teauneuf-du-Pape,France,4.6,120.0,2000.0
3837,3837,Viognier Lazio Bianco 2014,Casale del Giglio,Lazio,Italy,3.6,17.97,2014.0
3838,3838,Chardonnay Hanwood Estate,"[u""McWilliam's""]",South Eastern Australia,Australia,3.0,10.98,
3839,3839,Pinot Grigio Delle Venezie,Kris,Alto Adige,Italy,3.6,11.98,
3840,3840,Chablis,Domaine Laurent Tribut ,Chablis,France,3.8,34.93,
3841,3841,Puligny-Montrachet 2013,J.M. Boillot,Pommard,France,4.1,89.98,2013.0
3842,3842,Riesling,Covey Run,Columbia Valley,United States,3.6,7.98,
3843,3843,Gravina,Botromagno,Puglia,Italy,3.5,13.33,
3844,3844,Pinot Grigio 2015,Clos du Bois,Sonoma County,United States,3.7,12.87,2015.0
3845,3845,Campania 25 Rare 2014,Nativ,Campania,Italy,3.8,13.99,2014.0
3846,3846,Riesling Deidesheimer Kieselberg,Reichsrat von Buhl,Pfalz,Germany,3.9,42.49,
3847,3847,Sauvignon Blanc 2013,Chalk Hill,Chalk Hill,United States,3.8,21.98,2013.0
3848,3848,Nine Yards 2010,Jordan Stellenbosch,Stellenbosch,South Africa,4.5,47.0,2010.0
3849,3849,Riesling 2015,Ch\xe2teau Montelena,Calistoga,United States,3.8,21.45,2015.0
3850,3850,Puligny-Montrachet Les Combettes,Etienne Sauzet,Puligny-Montrachet,France,4.3,98.83,
3851,3851,Sauvignon Blanc 2014,"[u""Stag's Leap Wine Cellars""]",Napa Valley,United States,3.8,22.96,2014.0
3852,3852,"[u""Muscadet de Serve Et Maine Sur Lie Les Clissages D'Or 2014""]",Guy Saget,Pouilly-Sur-Loire,France,3.4,13.12,2014.0
3853,3853,Pinot Grigio,Ecco Domani,California,United States,3.5,9.98,
3854,3854,Genevri\xe8res Meursault Premier Cru 2013,Domaine Latour-Giraud,C\xf4te de Beaune,France,4.1,99.98,2013.0
3855,3855,Sauvignon Blanc 2015,Dark Horse,California,United States,3.6,8.97,2015.0
3856,3856,Ribbon Springs Vineyard Auxerrois,Adelsheim,Oregon,United States,3.7,21.18,
3857,3857,Lacrima Christi del Vesuvio Bianco 2012,De Angelis,Campania,Italy,3.5,88.68,2012.0
3858,3858,Barrel Fermented Chardonnay 2012,Hendry,Napa Valley,United States,3.9,30.98,2012.0
3859,3859,Chardonnay 2014,Decoy,Sonoma County,United States,3.8,16.98,2014.0
3860,3860,Pecorino Offida 2015,Saladini Pilastri,Marche,Italy,3.6,11.98,2015.0
3861,3861,Sauvignon Blanc 2014,Cederberg,Western Cape,South Africa,3.9,16.47,2014.0
3862,3862,Family Vineyards Chardonnay,Miolo,Rio Grande do Sul,Brazil,3.1,36.0,
3863,3863,Langenlois Spiegel 1.\xd6TW Reserve,Fred Loimer,Nieder\xf6sterreich,Austria,3.9,56.19,
3864,3864,Chardonnay CIX,Aubert,Calistoga,United States,4.5,168.0,
3865,3865,Riesling Sp\xe4tlese,Schloss Saarstein,Mosel,Germany,3.9,14.99,
3866,3866,Solera Fundacion Pedro Xim\xe9nez,Cruz Conde,Andaluc\xeda,Spain,4.7,50.99,
3867,3867,Clifford Bay Vineyard Reserve Sauvignon Blanc 2013,Villa Maria,Auckland,New Zealand,4.0,14.78,2013.0
3868,3868,Icon Marlborough Sauvignon Blanc 2015,Nobilo,Marlborough,New Zealand,4.1,16.98,2015.0
3869,3869,25/2 Chardonnay,Desierto,Patagonia,Argentina,3.7,15.79,
3870,3870,Touraine Vin De Loire Sauvignon Blanc 2014,Joel Delaunay,Touraine,France,3.8,14.97,2014.0
3871,3871,"[u""Winemaker's White Blend""]",Seven Daughters,California,United States,3.3,11.98,
3872,3872,Varietals Pinot Grigio,Trapiche,Mendoza,Argentina,3.3,8.48,
3873,3873,Riesling 2012,Anew,Washington,United States,3.6,10.98,2012.0
3874,3874,Chenin Blanc 2015,Indaba Wines,Western Cape,South Africa,3.7,9.98,2015.0
3875,3875,Santa Barbara County Viognier 2012,Fess Parker,Central Coast,United States,3.8,19.07,2012.0
3876,3876,446 Chardonnay 2014,Noble Vines,Central Coast,United States,3.4,9.98,2014.0
3877,3877,Vouvray de Gautier,Benoit Gautier,Touraine,France,3.9,14.98,
3878,3878,Pinot Grigio,Mirassou,California,United States,3.4,9.0,
3879,3879,Monzinger Halenberg Riesling Gro\xdfes Gew\xe4chs,Emrich-Schonleber,Nahe,Germany,4.6,80.93,
3880,3880,Santorini Assyrtiko Cuv\xe9e No. 15 2014,Hatzidakis,Santorini,Greece,4.1,36.4,2014.0
3881,3881,Chardonnay Monterey County 2013,Chalone Vineyard,Chalone,United States,3.3,12.48,2013.0
3882,3882,B\xe2tard-Montrachet Grand Cru 2011,Domaine Leflaive,Bourgogne,France,4.7,493.99,2011.0
3883,3883,Chardonnay,Powers,Columbia Valley,United States,3.5,13.98,
3884,3884,Gavi dei Gavi Bianco Secco 2012,La Scolca,Gavi,Italy,4.0,39.98,2012.0
3885,3885,Chardonnay 2012,Vergelegen,Stellenbosch,South Africa,3.4,19.99,2012.0
3886,3886,Classic Pinot Grigio 2015,"[u""Jacob's Creek""]",Barossa,Australia,3.5,9.13,2015.0
3887,3887,Chablis Rive Droite 2013,Domaine Testut,Chablis,France,3.9,28.18,2013.0
3888,3888,Pinot Grigio,Twisted,California,United States,3.3,6.48,
3889,3889,Montrachet Grand Cru Marquis de Laguiche,Joseph Drouhin,Bourgogne,France,4.5,779.99,
3890,3890,Chardonnay 1973,Ch\xe2teau Montelena,Calistoga,United States,4.5,11432.0,1973.0
3891,3891,Domaine Des Berthiers Saint-Andelain Pouilly Fum\xe9,Jean-Claude Dagueneau,Loire,France,4.0,20.29,
3892,3892,Vir\xe9-Cless\xe9 2012,Chanson,C\xf4te de Beaune,France,3.7,24.98,2012.0
3893,3893,Sauvignon Blanc 2015,Martin Ray,Sonoma County,United States,3.7,13.99,2015.0
3894,3894,H3 Chardonnay,Columbia Crest,Columbia Valley,United States,3.6,11.98,
3895,3895,Sauvignon Blanc,Simi,Sonoma County,United States,3.4,12.98,
3896,3896,Tokaji Harslevel\xfc Semi-Dry White,M\xc1D,Tokaji,Hungary,3.7,20.59,
3897,3897,Honoro Vera Rueda,Bodegas Ateca,Calatayud,Spain,3.5,8.98,
3898,3898,Individual Vineyard Headwaters Organic Sauvignon Blanc,Babich,Marlborough,New Zealand,3.8,19.32,
3899,3899,C\xf4tes du Rh\xf4ne La Redonne Blanc 2013,Jean-Luc Colombo,Vall\xe9e du Rh\xf4ne,France,3.6,23.97,2013.0
3900,3900,Tokaji Kapi Vineyard Aszu 6 Puttonyos,Diszn\xf3k\xf3,Tokaji,Hungary,4.4,99.14,
3901,3901,Private Bin Unoaked Chardonnay,Villa Maria,Auckland,New Zealand,3.6,15.98,
3902,3902,Heritage Reserve Chardonnay 2013,De Loach,California,United States,3.4,11.97,2013.0
3903,3903,Eroica Riesling 2013,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,3.9,19.98,2013.0
3904,3904,Meursault Les Vieilles Vignes 2013,Vincent Girardin,Bourgogne,France,4.1,40.98,2013.0
3905,3905,Terre Sicilia\u200b Bianco 2014,Tavernello,Emilia-Romagna,Italy,2.5,5.98,2014.0
3906,3906,Estate Chardonnay 2012,Staglin,Rutherford,United States,4.1,68.96,2012.0
3907,3907,Delle Venezie Pinot Grigio Blush 2014,Parini,Terre Siciliane,Italy,3.9,,2014.0
3908,3908,Sauvignon Blanc 2014,Seresin,Marlborough,New Zealand,3.8,24.98,2014.0
3909,3909,Zapallar Vineyard Sauvignon Blanc 2014,Outer Limits,Aconcagua,Chile,4.0,29.63,2014.0
3910,3910,"[u""Pinot Grigio Winemaker's Selection Tolentino""]",Bodega Cuarto Dominio,Valle de Uco,Argentina,3.6,16.66,
3911,3911,Bienvenues-B\xe2tard-Montrachet Grand Cru,Olivier Leflaive,Bourgogne,France,4.5,525.0,
3912,3912,"[u""Pays D'Oc R\xe9serve Chardonnay""]",J.P. Chenet,Alsace,France,3.4,11.98,
3913,3913,Chablis Grand Cru Grenouilles,Daniel-Etienne Defaix,Chablis,France,4.4,96.8,
3914,3914,Chardonnay 2014,Woodbridge by Robert Mondavi,California,United States,3.3,7.98,2014.0
3915,3915,Alsace Grand Cru Clos Saint Imer La Chapelle Goldert Gew\xfcrztraminer White,Ernest Burn,Alsace,France,4.4,14.99,
3916,3916,Chardonnay 2013,Brea,Central Coast,United States,3.6,14.99,2013.0
3917,3917,Chardonnay,Neudorf Vineyards,Nelson,New Zealand,4.0,25.69,
3918,3918,"[u""Moscato d'Asti Cascinetta""]",Vietti,Barolo,Italy,4.2,15.98,
3919,3919,Roussanne-Viognier,Mas de Bressades,Southern Rh\xf4ne,France,3.8,19.98,
3920,3920,Savigny-l\xe8s-Beaune Les Vergelesses Blanc,Louis Jadot,Bourgogne,France,4.0,42.29,
3921,3921,Suzaan Alheit Cartology 2014,Chris Suzaan Alheit,Stellenbosch,South Africa,4.4,42.11,2014.0
3922,3922,Pinot Grigio 2015,Jermann,Friuli-Venezia Giulia,Italy,3.9,18.98,2015.0
3923,3923,Ch\xe2teauneuf-du-Pape Blanc 2012,Ch\xe2teau de Vaudieu,Ch\xe2teauneuf-du-Pape,France,4.0,44.98,2012.0
3924,3924,Rioja Barrel Fermented Blanco 2014,Bodegas Muga,Rioja,Spain,3.7,14.98,2014.0
3925,3925,Frascati Superiore Secco 2013,Fontana Candida,Lazio,Italy,3.2,8.98,2013.0
3926,3926,Chardonnay,Layer Cake,St. Helena,United States,3.4,12.98,
3927,3927,Chardonnay 2014,Laetitia,Arroyo Grande Valley,United States,3.9,15.47,2014.0
3928,3928,Chardonnay 2011,Chappellet,St. Helena,United States,4.1,29.97,2011.0
3929,3929,Chardonnay Bannockburn 2012,Felton Road,Central Otago,New Zealand,3.9,39.98,2012.0
3930,3930,Chardonnay Heytesbury 2010,Vasse Felix,Margaret River,Australia,4.4,58.98,2010.0
3931,3931,Vi\xf1a Esmeralda 2014,Torres,Pened\xe8s,Spain,3.8,14.98,2014.0
3932,3932,Smaragd Honivogl Wachau Gr\xfcner Veltliner,Franz Hirtzberger,Wien,Austria,4.4,191.0,
3933,3933,Footprint Chenin Blanc S\xe9millon 2014,African Pride,Western Cape,South Africa,3.2,6.55,2014.0
3934,3934,Braide Alte 2013,Livon,Friuli-Venezia Giulia,Italy,4.3,49.86,2013.0
3935,3935,Prelude Vineyards Chardonnay 2004,Leeuwin Estate,Margaret River,Australia,4.4,67.24,2004.0
3936,3936,Home Ranch Chardonnay,Sbragia,California,United States,3.9,24.33,
3937,3937,Chardonnay,Dynamite Vineyards,Sonoma County,United States,2.9,10.98,
3938,3938,Les Vignes de Bila-Haut C\xf4tes du Rousillon Blanc 2014,M. Chapoutier,Vall\xe9e du Rh\xf4ne,France,3.6,13.98,2014.0
3939,3939,"[u""Trebbiano d'Abruzzo 2013""]",Cirelli,Abruzzo,Italy,3.5,15.99,2013.0
3940,3940,Piodilei Chardonnay Langhe,Pio Cesare,Piemonte,Italy,3.9,21.98,
3941,3941,Tokaji Asz\xfa 6 Puttonyos 2004,Pendits,Tokaji,Hungary,4.9,171.89,2004.0
3942,3942,Pinot Grigio delle Venezie Sortesele 2014,Santi,Verona,Italy,3.6,11.98,2014.0
3943,3943,Sancerre,Domaine Hippolyte Reverdy,Sancerre,France,4.1,25.68,
3944,3944,Torrontes,Colom\xe9,Valle de Cafayate,Argentina,3.6,12.98,
3945,3945,Pinot Grigio S\xfcdtirol - Alto Adige 2013,St. Michael-Eppan,Trentino-Alto Adige,Italy,3.7,14.91,2013.0
3946,3946,"[u""Vin de Pays de l'H\xe9rault Blanc""]",La Grange des Peres,Languedoc-Roussillon,France,4.6,114.98,
3947,3947,Villa Antinori Toscana Bianco 2012,Marchesi Antinori,Toscana,Italy,3.7,12.98,2012.0
3948,3948,Chardonnay Corralillo,Matetic,Valle de San Antonio,Chile,3.6,20.33,
3949,3949,Monte Bello Chardonnay 2012,Ridge Vineyards,California,United States,4.2,64.98,2012.0
3950,3950,Puligny-Montrachet 2013,Ch\xe2teau de Puligny Montrachet,Puligny-Montrachet,France,4.0,65.79,2013.0
3951,3951,Les Petites Roches Chinon,Charles Joguet,Touraine,France,3.5,24.98,
3952,3952,Meursault En La Barre 2013,Antoine Jobard,C\xf4te de Beaune,France,3.9,96.68,2013.0
3953,3953,Chardonnay 2015,Hamilton Russell,Walker Bay,South Africa,4.1,29.97,2015.0
3954,3954,Riesling 2014,Jekel,Central Coast,United States,3.6,13.92,2014.0
3955,3955,Greco Di Tufo Cutizzi 2012,Feudi di San Gregorio,Campania,Italy,3.9,30.83,2012.0
3956,3956,Chardonnay Wild Yeast 2010,Miner,Oakville,United States,4.2,46.98,2010.0
3957,3957,Pinot Grigio Delle Venezie,Bolla,Veneto,Italy,3.5,8.98,
3958,3958,Chardonnay Estate Bottled 2013,Far Niente,Oakville,United States,4.3,59.98,2013.0
3959,3959,Corton-Charlemagne Grand Cru 2011,Louis Jadot,Bourgogne,France,4.5,159.98,2011.0
3960,3960,Margaret River Kevin John Chardonnay 2012,Cullen,South West Australia,Australia,4.7,89.98,2012.0
3961,3961,Chardonnay 2014,Ch\xe2teau Ste. Michelle,Columbia Valley,United States,3.6,9.98,2014.0
3962,3962,Trocken Riesling,Dreissigacker,Rheinhessen,Germany,3.7,19.49,
3963,3963,"[u""Ermitage l'Ermite Blanc""]",M. Chapoutier,Vall\xe9e du Rh\xf4ne,France,4.4,485.99,
3964,3964,The Game Reserve Chenin Blanc,Graham Beck,Western Cape,South Africa,3.5,14.98,
3965,3965,Riesling Graacher Himmelreich Kabinett 2012,Joh. Jos. Pr\xfcm,Mosel,Germany,4.0,29.97,2012.0
3966,3966,Y (a.k.a. Y Lur Saluces),"[u""Ch\xe2teau d'Yquem""]",Sauternes,France,4.5,272.69,
3967,3967,Sauvignon Blanc 2015,Woodbridge by Robert Mondavi,California,United States,3.2,6.98,2015.0
3968,3968,Gew\xfcrztraminer Corralillo,Matetic,Valle de San Antonio,Chile,3.5,16.3,
3969,3969,Condrieu Villa Pontciana,Francois Villard,Northern Rh\xf4ne,France,4.4,47.19,
3970,3970,Riesling Kabinett Blue Slate 2014,Dr. Loosen,Mosel,Germany,4.0,19.98,2014.0
3971,3971,P\xeara-Manca Branco 2002,Cartuxa,Evora,Portugal,4.5,44.52,2002.0
3972,3972,Corton-Charlemagne Grand Cru 1999,Louis Latour,C\xf4te de Nuits,France,4.0,125.0,1999.0
3973,3973,Roussanne 2013,Tablas Creek,Paso Robles,United States,3.5,33.36,2013.0
3974,3974,Old Vine Reserve Chenin Blanc,Ken Forrester,Stellenbosch,South Africa,3.6,13.98,
3975,3975,"Chablis Premier Cru ""Montee de Tonnerre""",Louis Michel & Fils,Chablis,France,3.9,39.63,
3976,3976,Riesling Bannockburn 2014,Felton Road,Central Otago,New Zealand,3.9,34.98,2014.0
3977,3977,Rias Baixas Albari\xf1o 2013,Licia,Abruzzo,Italy,3.5,15.48,2013.0
3978,3978,"[u""Moscato d'Asti""]",Vino dei Fratelli,Piemonte,Italy,4.4,11.98,
3979,3979,Riesling 2012,Beringer Vineyards,St. Helena,United States,4.4,22.0,2012.0
3980,3980,HRB D648 Chardonnay 2014,Hardys,South Australia,Australia,3.1,7.11,2014.0
3981,3981,Riesling Tradition 2014,Weingut Robert Weil,Rheingau,Germany,3.9,17.96,2014.0
3982,3982,Godello-Do\xf1a Blanc 2014,Bodegas Godelia,Castilla y Le\xf3n,Spain,3.8,19.98,2014.0
3983,3983,Russian River Valley Chardonnay 2013,Hartford Court,Sonoma County,United States,4.0,25.98,2013.0
3984,3984,Riesling 2014,Starling Castle,Mosel,Germany,3.8,9.98,2014.0
3985,3985,Meursault-Blagny Premier Cru Ch\xe2teau de Blagny 2011,Louis Latour,C\xf4te de Nuits,France,4.1,69.98,2011.0
3986,3986,Hermitage Le Chevalier de Sterimberg 1998,Paul Jaboulet A\xeen\xe9,Vall\xe9e du Rh\xf4ne,France,4.1,45.92,1998.0
3987,3987,Carmes de Rieussec Sauternes 2005,Ch\xe2teau Rieussec,Sauternes,France,4.2,29.99,2005.0
3988,3988,Riesling 2014,Landhaus Mayer,Wien,Austria,3.8,17.48,2014.0
3989,3989,Renesio Roero Arneis,Malvir\xe0,Piemonte,Italy,3.5,33.0,
3990,3990,Soave Monte de Toni Classico,I Stefanini,Veneto,Italy,3.6,20.79,
3991,3991,Moutere Chardonnay 2014,Neudorf Vineyards,Nelson,New Zealand,4.5,49.99,2014.0
3992,3992,Kaiton S\xfcdtirol Eisacktaler Riesling 2013,Kuen Hof,Alsace,France,3.6,31.94,2013.0
3993,3993,Grand Cru 2014,Tenuta Rapitala,Terre Siciliane,Italy,4.0,33.89,2014.0
3994,3994,Marlborough Sauvignon Blanc 2014,Mount Nelson,Marlborough,New Zealand,3.9,17.97,2014.0
3995,3995,Chardonnay 2013,Hangtime,Napa Valley,United States,3.7,13.52,2013.0
3996,3996,Pinot Grigio S\xfcdtirol - Alto Adige 2015,St. Michael-Eppan,Trentino-Alto Adige,Italy,3.8,14.98,2015.0
3997,3997,Organic Sauvignon Blanc 2015,Cono Sur,Santiago,Chile,3.6,8.98,2015.0
3998,3998,Gr\xfcner Veltliner Steinsetz Reserve 2014,Schloss Gobelsburg,Nieder\xf6sterreich,Austria,3.9,26.97,2014.0
3999,3999,Gavi 2014,Marchesi di Barolo,Barolo,Italy,3.5,18.73,2014.0
4000,4000,Reserve Riesling 2012,Mission Hill Family Estate,Okanagan Valley,Canada,3.9,15.27,2012.0
4001,4001,505 Vineyards Chardonnay,Casarena,Lujan de Cuyo,Argentina,3.3,10.83,
4002,4002,Ch\xe2teauneuf-du-Pape La Crau Blanc 2013,Domaine du Vieux T\xe9l\xe9graphe,Ch\xe2teauneuf-du-Pape,France,4.1,59.95,2013.0
4003,4003,Milmanda 2010,Torres,Pened\xe8s,Spain,4.1,31.38,2010.0
4004,4004,Sancerre,Barton & Guestier,Bordeaux,France,3.7,21.58,
4005,4005,Piano Maltese Sicilia,Tenuta Rapitala,Terre Siciliane,Italy,3.6,13.99,
4006,4006,Reserve Pinot Gris,Cooper Mountain,Willamette Valley,United States,3.7,15.89,
4007,4007,Casa Grand Selection Chardonnay,Lapostolle,Valle Central,Chile,3.6,12.92,
4008,4008,Pinot Grigio Delle Venezie,Fontana Candida,Lazio,Italy,3.6,9.98,
4009,4009,Sauvignon Blanc 2014,Greywacke,Marlborough,New Zealand,4.0,22.98,2014.0
4010,4010,Chardonnay 2012,La Crema,Sonoma County,United States,4.1,25.83,2012.0
4011,4011,La Carriere 2013,Peter Michael Winery,Knights Valley,United States,4.8,119.48,2013.0
4012,4012,Sauvignon Blanc II 2013,Von Winning,Pfalz,Germany,4.1,42.98,2013.0
4013,4013,Chardonnay 2013,Markham Vineyards,St. Helena,United States,3.7,17.18,2013.0
4014,4014,La Mora Vermentino Toscana (Toscana Bianco) 2014,Cecchi,Toscana,Italy,3.2,17.97,2014.0
4015,4015,Pinot Grigio,Barefoot,Napa Valley,United States,3.3,6.98,
4016,4016,Crausot,Francois Lumpp,C\xf4te Chalonnaise,France,4.0,54.29,
4017,4017,Casasole Orvieto Classico Amabile,Santa Cristina,Toscana,Italy,3.9,11.98,
4018,4018,Pinot Blanc 2014,Villa Wolf,Pfalz,Germany,3.5,12.85,2014.0
4019,4019,Riesling Auslese Wehlener Sonnenuhr,Dr. Loosen,Mosel,Germany,4.2,43.98,
4020,4020,Pouilly-Fum\xe9 La Demoiselle de Bourgeois 2013,Henri Bourgeois,Sancerre,France,3.9,29.38,2013.0
4021,4021,Chardonnay 2013,Robert Mondavi,Oakville,United States,3.7,17.97,2013.0
4022,4022,Saint-V\xe9ran Cuv\xe9e Prestige,Roger Lassarat,Bourgogne,France,3.7,22.69,
4023,4023,Lacryma Christi Del Vesuvio Bianco 2013,Mastroberardino,Campania,Italy,3.2,15.33,2013.0
4024,4024,Conservancy Chardonnay 2012,Concannon,Livermore Valley,United States,3.7,13.77,2012.0
4025,4025,Trentino Pinot Grigio 2013,Bollini,Trentino-Alto Adige,Italy,3.6,15.98,2013.0
4026,4026,Gr\xfcner Veltliner 2015,Rabl,Kamptal,Austria,3.7,10.07,2015.0
4027,4027,Goruli Mtsvane Dry White 2014,Mukhrani,Kakheti,Georgia,3.7,15.98,2014.0
4028,4028,Max Reserva Sauvignon Blanc 2012,Errazuriz,Valle de Aconcagua,Chile,3.7,15.27,2012.0
4029,4029,Louro Godello 2015,Rafael Palacios,Galicia,Spain,3.9,20.55,2015.0
4030,4030,Chardonnay Cave Collection 2013,Far Niente,Oakville,United States,4.5,75.0,2013.0
4031,4031,Le Arenarie Alghero 2014,Sella & Mosca,Sardegna,Italy,3.3,201.48,2014.0
4032,4032,Alsace Les Natures Pinot Blanc 2012,Jean-Baptiste Adam,Alsace,France,3.5,15.11,2012.0
4033,4033,Torrontes 2015,Colom\xe9,Valle de Cafayate,Argentina,3.7,12.48,2015.0
4034,4034,Fourchaume Chablis Premier Cru 2013,Roland Lavantureux,Chablis,France,4.0,65.98,2013.0
4035,4035,Chardonnay Reserva 2012,Apaltagua,Valle de Curic\xf3,Chile,3.1,10.72,2012.0
4036,4036,Napa Valley Sauvignon Blanc 2014,Beringer Vineyards,St. Helena,United States,3.8,15.23,2014.0
4037,4037,Reserve Chardonnay,Sophenia,Mendoza,Argentina,3.5,17.72,
4038,4038,Puligny-Montrachet Premier Cru 2011,Louis Latour,C\xf4te de Nuits,France,4.5,72.0,2011.0
4039,4039,Foral de \xc9vora Colheita Branco 2012,Cartuxa,Evora,Portugal,3.8,7.98,2012.0
