,index,Unnamed: 0,0,1,2,3,4,5
3531,21,21,[u'Isosceles 2010'],[u'Justin'],[u'Paso Robles'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $79.97\n', u'\n']"
3532,22,22,[u'Black Chicken Zinfandel 2012'],[u'Robert Biale Vineyards'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $44.96\n', u'\n']"
3533,23,23,[u'Amarone della Valpolicella Classico 2008'],[u'Bussola'],[u'Valpolicella'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $65.98\n', u'\n']"
3534,24,24,[u'Rioja Gran Reserva Especial Castillo Ygay 2007'],[u'Marqu\xe9s de Murrieta'],[u'Rioja'],[u'Spain'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $89.98\n', u'\n']"
3535,25,25,[u'Albis 2005'],[u'Haras de Pirque'],[u'Valle del Maipo'],[u'Chile'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $35.48\n', u'\n']"
3536,26,26,[u'Saint Julien 2005'],[u'Ch\xe2teau L\xe9oville Poyferr\xe9'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $149.98\n', u'\n']"
3537,27,27,[u'Reserve Tapestry Red Blend 2012'],[u'Beaulieu Vineyard (BV)'],[u'Rutherford'],[u'United States'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $47.39\n', u'\n']"
3538,28,28,[u'Brunello di Montalcino 2009'],[u'Biondi-Santi'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $209.98\n', u'\n']"
3539,29,29,[u'Ch\xe2teauneuf-du-Pape 2009'],[u'Clos des Papes (Paul Avril)'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $123.74\n', u'\n']"
3540,30,30,[u'Bramare Marchiori Vineyard Cabernet Sauvignon 2012'],[u'Vi\xf1a Cobos'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $69.98\n', u'\n']"
3541,31,31,[u'Saint-Julien 1996'],[u'Ch\xe2teau Leoville Barton'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $129.97\n', u'\n']"
3542,32,32,[u'Dairyman Vineyard Pinot Noir 2014'],[u'Belle Glos'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $54.98\n', u'\n']"
3543,33,33,[u'Christian Moueix 2006'],[u'Dominus'],[u'Yountville'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $203.95\n', u'\n']"
3544,34,34,[u'Saint-\xc8stephe 2008'],"[u""Ch\xe2teau Cos d'Estournel""]",[u'Saint-Est\xe8phe'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $139.47\n', u'\n']"
3545,35,35,[u'Pessac-L\xe9ognan Grand Cru Class\xe9 2005'],[u'Ch\xe2teau Smith Haut-Lafitte'],[u'Pessac-Leognan'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $163.99\n', u'\n']"
3546,36,36,[u'Rioja Reserva I 2008'],[u'Bodegas Roda'],[u'Rioja'],[u'Spain'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $43.44\n', u'\n']"
3547,37,37,[u'Pauillac 2002'],[u'Ch\xe2teau Pichon-Longueville Baron'],[u'Pauillac'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $94.99\n', u'\n']"
3548,38,38,[u'Black Chicken Zinfandel 2013'],[u'Robert Biale Vineyards'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $44.98\n', u'\n']"
3549,39,39,[u'Ch\xe2teauneuf-du-Pape 2001'],[u'Ch\xe2teau de Beaucastel'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $118.97\n', u'\n']"
3550,40,40,[u'Proprietary Red 2012'],[u'Paraduxx'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $41.98\n', u'\n']"
3551,41,41,[u'Pauillac 1992'],[u'Ch\xe2teau Mouton Rothschild'],[u'Pauillac'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $374.99\n', u'\n']"
3552,42,42,[u'Terre Brune Superiore Carignano del Sulcis 2010'],[u'Santadi'],[u'Sardegna'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $65.98\n', u'\n']"
3553,43,43,[u'Amarone della Valpolicella Classico 2005'],[u'Tommasi'],[u'Valpolicella'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $95.00\n', u'\n']"
3554,44,44,[u'Cepparello Red 2009'],[u'Isole e Olena'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $61.44\n', u'\n']"
3555,45,45,[u'Cabernet Sauvignon Signature 2013'],[u'Chappellet'],[u'St. Helena'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $62.98\n', u'\n']"
3556,46,46,[u'Cabernet Sauvignon Signature 2013'],[u'Chappellet'],[u'St. Helena'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $62.98\n', u'\n']"
3557,47,47,[u'Merlot 2013'],[u'Emmolo'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $54.98\n', u'\n']"
3558,48,48,[u'Enzo Bianchi Gran Cru 2011'],[u'Bianchi'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $39.98\n', u'\n']"
3559,49,49,[u'Veraton Garnacha 2013'],[u'Alto Moncayo'],[u'Campo de Borja'],[u'Spain'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $26.97\n', u'\n']"
3560,50,50,[u'CASK Cabernet Sauvignon 2011'],[u'Inglenook'],[u'Rutherford'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $65.98\n', u'\n']"
3561,51,51,[u'Pauillac Grand Cru Class\xe9 2005'],[u'Ch\xe2teau Duhart-Milon'],[u'Pauillac'],[u'France'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $124.99\n', u'\n']"
3562,52,52,[u'Pavillon Rouge du Ch\xe2teau Margaux 2004'],[u'Ch\xe2teau Margaux'],[u'Margaux'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $188.88\n', u'\n']"
3563,53,53,[u'Colchagua Valley 2010'],[u'Neyen'],[u'Valle Central'],[u'Chile'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $43.94\n', u'\n']"
3564,54,54,[u'Saint-Est\xe8phe 1995'],[u'Ch\xe2teau Montrose'],[u'Saint-Est\xe8phe'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $151.99\n', u'\n']"
3565,55,55,[u'Barolo 2004'],[u'Pio Cesare'],[u'Piemonte'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $77.15\n', u'\n']"
3566,56,56,[u'Saint-\xc8stephe 1999'],"[u""Ch\xe2teau Cos d'Estournel""]",[u'Saint-Est\xe8phe'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $150.00\n', u'\n']"
3567,57,57,[u'Mendoza Red 2011'],[u'Cheval des Andes'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $86.98\n', u'\n']"
3568,58,58,[u'Cabernet Sauvignon Napa Valley 2012'],[u'Cade'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $64.95\n', u'\n']"
3569,59,59,[u'Pauillac Grand Cru Class\xe9 2001'],[u'Ch\xe2teau Pichon Longueville Comtesse de Lalande'],[u'Pauillac'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $121.99\n', u'\n']"
3570,60,60,[u'Amarone della Valpolicella Classico 2007'],[u'Bertani'],[u'Amarone della Valpolicella'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $66.91\n', u'\n']"
3571,61,61,[u'Ch\xe2teauneuf-du-Pape 2011'],[u'Clos des Papes (Paul Avril)'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $115.99\n', u'\n']"
3572,62,62,[u'Priorat 2011'],[u'Clos Mogador'],[u'Priorat'],[u'Spain'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $94.99\n', u'\n']"
3573,63,63,[u'Ch\xe2teauneuf-du-Pape 2012'],[u'Ch\xe2teau de Beaucastel'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $99.98\n', u'\n']"
3574,64,64,[u'Toscana I Sodi di San Niccolo 2011'],[u'Castellare di Castellina'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $78.47\n', u'\n']"
3575,65,65,[u'Cabernet Sauvignon 2012'],[u'Adaptation'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $49.98\n', u'\n']"
3576,66,66,[u'Christian Moueix 2011'],[u'Dominus'],[u'Yountville'],[u'United States'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $162.77\n', u'\n']"
3577,67,67,[u'Saint-Julien Grand Cru Class\xe9 1986'],[u'Ch\xe2teau Ducru-Beaucaillou'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $207.99\n', u'\n']"
3578,68,68,[u'Priorat 2009'],[u'Clos Mogador'],[u'Priorat'],[u'Spain'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $84.98\n', u'\n']"
3579,69,69,[u'Saint-Julien Grand Cru Class\xe9 1995'],[u'Ch\xe2teau Gruaud-Larose'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $128.97\n', u'\n']"
3580,70,70,[u'Cabernet Sauvignon 2013'],[u'Cakebread Cellars'],[u'Rutherford'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $74.98\n', u'\n']"
3581,71,71,[u'Saint-Julien Grand Vin de L\xe9oville 2004'],[u'Ch\xe2teau Leoville Las Cases'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $169.98\n', u'\n']"
3582,72,72,[u'Pessac-L\xe9ognan Grand Cru Class\xe9 de Graves 2006'],[u'Ch\xe2teau Pape Cl\xe9ment'],[u'Pessac-Leognan'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $154.99\n', u'\n']"
3583,73,73,[u'Cabernet Sauvignon 2012'],[u'ZD Wines'],[u'Rutherford'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $55.98\n', u'\n']"
3584,74,74,[u'Luce 2012'],[u'Luce della Vite'],[u'Toscana'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $111.98\n', u'\n']"
3585,75,75,[u'Flor de Pingus 2013'],[u'Dominio de Pingus'],[u'Ribera del Duero'],[u'Spain'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $89.98\n', u'\n']"
3586,76,76,[u'Carruades de Lafite Pauillac 2000'],[u'Ch\xe2teau Lafite Rothschild'],[u'Pauillac'],[u'France'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $245.83\n', u'\n']"
3587,77,77,[u'FAY Cabernet Sauvignon 2011'],"[u""Stag's Leap Wine Cellars""]",[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $103.48\n', u'\n']"
3588,78,78,[u'Anaperenna 2012'],[u'Glaetzer'],[u'Barossa Valley'],[u'Australia'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $66.98\n', u'\n']"
3589,79,79,[u'Ch\xe2teauneuf-du-Pape'],[u'Ch\xe2teau de Beaucastel'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $104.98\n', u'\n']"
3590,80,80,[u'Ch\xe2teauneuf-du-Pape 2010'],[u'Clos des Papes (Paul Avril)'],[u'Ch\xe2teauneuf-du-Pape'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $163.88\n', u'\n']"
3591,81,81,[u'Saint-Julien Grand Cru Class\xe9 2001'],[u'Ch\xe2teau Ducru-Beaucaillou'],[u'Saint-Julien'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $134.49\n', u'\n']"
3592,82,82,[u'Stags Leap District Cabernet Sauvignon 2010'],[u'Cliff Lede'],[u'Yountville'],[u'United States'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $84.98\n', u'\n']"
3593,83,83,[u'Amarone della Valpolicella Classico Riserva Capitel Monte Olmi 2009'],[u'Tedeschi'],[u'Veneto'],[u'Italy'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $1,066.00\n', u'\n']"
3594,84,84,[u'Syrah 2008'],[u'Pangea'],[u'Valle Central'],[u'Chile'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $50.88\n', u'\n']"
3595,85,85,[u'Margaux Grand Cru Class\xe9 Grand Vin 2000'],[u'Ch\xe2teau Brane-Cantenac'],[u'Margaux'],[u'France'],"[u'\nAvg. Rating: 4.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $118.99\n', u'\n']"
