,index,Unnamed: 0,0,1,2,3,4,5
5645,46,46,[u'Chardonnay'],[u'Frontera'],[u'Valle Central'],[u'Chile'],"[u'\nAvg. Rating: 3.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $5.98\n', u'\n']"
5646,47,47,[u'Torrontes 2013'],[u'Leo'],[u'Mendoza'],[u'Argentina'],"[u'\nAvg. Rating: 3.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $16.98\n', u'\n']"
5647,48,48,[u'Meursault 1er Cru Les Charmes'],[u'Domaine Henri Boillot'],[u'Meursault'],[u'France'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $103.69\n', u'\n']"
5648,49,49,[u'Chardonnay 2014'],[u'Gundlach Bundschu'],[u'Sonoma Valley'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $23.97\n', u'\n']"
5649,50,50,[u'Chardonnay 2013'],[u'Oakridge'],[u'Yarra Valley'],[u'Australia'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $12.98\n', u'\n']"
5650,51,51,[u'Miller Ranch Sauvignon Blanc 2014'],[u'Silverado'],[u'Napa Valley'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $18.98\n', u'\n']"
5651,52,52,[u'Condrieu Clos Boucher 2012'],[u'Delas'],[u'C\xf4tes du Rh\xf4ne'],[u'France'],"[u'\nAvg. Rating: 4.0\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $71.98\n', u'\n']"
5652,53,53,[u'California Chardonnay'],[u'Toschi'],[u'California'],[u'United States'],"[u'\nAvg. Rating: 3.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $6.79\n', u'\n']"
5653,54,54,[u'Aenigma White 2013'],[u'Neil Ellis'],[u'Stellenbosch'],[u'South Africa'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $15.99\n', u'\n']"
5654,55,55,[u'R\xe9serve Sauvignon Blanc 2014'],[u'Barton & Guestier'],[u'Bordeaux'],[u'France'],"[u'\nAvg. Rating: 3.3\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.37\n', u'\n']"
5655,56,56,[u'Reserve 1991'],[u'Peter Lauer'],[u'Mosel'],[u'Germany'],"[u'\nAvg. Rating: 4.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $75.00\n', u'\n']"
5656,57,57,[u'Estate Chardonnay 2014'],[u'Alexander Valley Vineyards'],[u'Sonoma County'],[u'United States'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $15.96\n', u'\n']"
5657,58,58,[u'Chardonnay 2012'],[u'Banrock Station'],[u'South Eastern Australia'],[u'Australia'],"[u'\nAvg. Rating: 3.1\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.98\n', u'\n']"
5658,59,59,[u'Loios Alentejano Branco 2013'],[u'Joao Portugal Ramos'],[u'Alentejo'],[u'Portugal'],"[u'\nAvg. Rating: 3.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.87\n', u'\n']"
5659,60,60,[u'Feldmarschall 2014'],[u'Tiefenbrunner'],[u'Trentino-Alto Adige'],[u'Italy'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $39.10\n', u'\n']"
5660,61,61,[u'Reserve Chardonnay 2013'],"[u""Jacob's Creek""]",[u'Barossa'],[u'Australia'],"[u'\nAvg. Rating: 3.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $12.98\n', u'\n']"
5661,62,62,[u'Sonoma County Chardonnay 2014'],[u'Simi'],[u'Sonoma County'],[u'United States'],"[u'\nAvg. Rating: 3.6\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $14.98\n', u'\n']"
5662,63,63,[u'Chardonnay'],[u'Oyster Bay'],[u'Marlborough'],[u'New Zealand'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $11.98\n', u'\n']"
5663,64,64,[u'Rossj-Bass 2012'],[u'Gaja'],[u'Piemonte'],[u'Italy'],"[u'\nAvg. Rating: 4.2\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $67.48\n', u'\n']"
5664,65,65,[u'Chardonnay 2014'],[u'Principi di Butera'],[u'Terre Siciliane'],[u'Italy'],"[u'\nAvg. Rating: 3.7\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $13.98\n', u'\n']"
5665,66,66,[u'Black Sheep Chardonnay 2013'],[u'Le Grand Noir'],[u'Languedoc-Roussillon'],[u'France'],"[u'\nAvg. Rating: 3.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $7.89\n', u'\n']"
5666,67,67,[u'Chenin Blanc'],[u'Olerasay'],[],[],"[u'\nAvg. Rating: 4.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $50.48\n', u'\n']"
5667,68,68,[u'Meursault-Perri\xe8res 1er Cru 1994'],[u'Robert Ampeau'],[u'Bourgogne'],[u'France'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $190.00\n', u'\n']"
5668,69,69,[u'Moscato D Asti 2013'],[u'Bella Bolle'],[u'Asti'],[u'Italy'],"[u'\nAvg. Rating: 4.4\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $9.89\n', u'\n']"
5669,70,70,[u'B\xe2tard-Montrachet Grand Cru 2008'],[u'Olivier Leflaive'],[u'Bourgogne'],[u'France'],"[u'\nAvg. Rating: 4.5\n', u'\n', u'\n', u'\n', u'\n']","[u'\nAvg. Price: $349.98\n', u'\n']"
